USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/SH3PXD2A_RHSPN151771_RJON	-11436.400171	0.05025	1.00000	rjon_all_relaxed_no_tort_tree/SH3PXD2A_RHSPN151771_RJON	-11436.383365	0.0502	1.0	1.0	1.0	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/BGLAP_RHSPN018565_RJON	-1411.177653	0.08850	1.00000	rjon_all_relaxed_no_tort_tree/BGLAP_RHSPN018565_RJON	-1411.177653	0.0885	1.0	1.0	1.0	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/CA4_RHSPN232350_RJON	-4980.865352	0.07916	1.00000	rjon_all_relaxed_no_tort_tree/CA4_RHSPN232350_RJON	-4980.865353	0.07916	1.0	1.0	1.0	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/VPS53_RHSPN221563_RJON	-9893.490927	0.01966	1.00000	rjon_all_relaxed_no_tort_tree/VPS53_RHSPN221563_RJON	-9893.490927	0.01966	67.59259	1.0	67.59259	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/ANXA2_RHSPN205356_RJON	-4580.107971	0.04684	1.00000	rjon_all_relaxed_no_tort_tree/ANXA2_RHSPN205356_RJON	-4579.867334	0.04656	2.3703	1.0	2.3703	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/PNPLA6_RHSPN244009_RJON	-15503.188372	0.02845	1.00000	rjon_all_relaxed_no_tort_tree/PNPLA6_RHSPN244009_RJON	-15497.536694	0.02795	15.29564	1.0	15.29564	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/MAP3K7_RHSPN099791_RJON	-4076.967436	0.02185	1.00000	rjon_all_relaxed_no_tort_tree/MAP3K7_RHSPN099791_RJON	-4076.967436	0.02185	14.05326	1.0	14.05326	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/PPP4C_RHSPN215351_RJON	-2673.617365	0.00110	1.00000	rjon_all_relaxed_no_tort_tree/PPP4C_RHSPN215351_RJON	-2673.615083	0.00109	1.0	1.0	1.0	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/KLHDC7A_RHSPN003360_RJON	-9457.206149	0.09099	1.00000	rjon_all_relaxed_no_tort_tree/KLHDC7A_RHSPN003360_RJON	-9457.202219	0.09093	1.0	1.0	1.0	
USP25_RHSPN265831_RJON	rjon_all_relaxed_no_tort_tree/SYT14_RHSPN024668_RJON	-2816.58903	0.03836	1.00000	rjon_all_relaxed_no_tort_tree/SYT14_RHSPN024668_RJON	-2816.58903	0.03836	1.0	1.0	1.0	
